"abn","geo-address","Health Board","hospital-name","hospital-type","phone-num-switch","related-hospital-expanded","related-hosp-peer-group","related-logo","related-job-lead","remoteness","state","stripe-ID","Creation Date","Modified Date","Slug","Creator","unique id"
"","36 Kennedy St, Euroa VIC 3666","","Euroa Health","Private","","1693732772833x528041363397826940","1676964822585x708987829409945600","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907064x343526335103675900"
"","","","Insight Clinic Private Hospital","Private","","1693732772977x160514890710653280","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907064x458369324557036800"
"","78/82 Channon St, Gympie QLD 4570","","Gympie Private Hospital","Private","","1693732773123x482615860201347500","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907064x698833699632422700"
"","Moran Dr, Dubbo NSW 2830","","Dubbo Private Hospital","Private","","1693732773271x240227315387135260","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907064x770034038537479400"
"","","","Lithgow Community Private Hospital","Private","","1693732772273x184208136497221020","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907065x132457378417255140"
"","286 Maryvale Rd, Morwell VIC 3840","","Maryvale Private Hospital","Private","","1693732772386x643593242008542800","1676964822585x708987829409945600","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907065x415980368275207230"
"","55 Cliff St, Yeppoon QLD 4703","","Mater Hospital Yeppoon","Private","","1693732772537x817028346355454000","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907065x981004678044319700"
"","Weeroona Pl, Nowra NSW 2541","","Nowra Private Hospital","Private","","1693732771369x456025428434484500","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907450x251856090790469220"
"","136 Botanic Rd, Warrnambool VIC 3280","","St John of God Warrnambool Hospital","Private","","1693732771520x455277402287831400","1676964822585x708987829409945600","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907450x272219485391691480"
"","Sth Burnett Comnty Hosp, 31 Markwell St, Kingaroy QLD 4610","","South Burnett Private Hospital","Private","","1693732771669x958768057431774500","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907450x288103584133529760"
"","86-94 Lake Rd, Port Macquarie NSW 2444","","Port Macquarie Private Hospital","Private","","1693732771817x582032897765127400","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907450x562102735585465800"
"","313 Bourbong St, Bundaberg Central QLD 4670","","Mater Misericordiae Hospital Bundaberg","Private","","1693732771973x228176038160273540","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907450x739427246169478900"
"","2 Dean St, Tamworth NSW 2340","","Tamara Private Hospital","Private","","1693732770781x410491605567495400","1676964822585x708987829409945600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907451x220078418807977180"
"","Bay Rd, Victor Harbor SA 5211","","VICtor Harbor Private Hospital","Private","","1693732770929x529808359515924200","1676964822585x708987829409945600","","","","SA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907451x487477056495937660"
"","134/150 Templeton St, Wangaratta VIC 3677","","Wangaratta Private Hospital","Private","","1693732771077x694463170522330400","1676964822585x708987829409945600","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907451x637964405042341700"
"","1 Medical Pl, Urraween QLD 4655","","St Stephen's Private Hospital","Private","","1693732771225x299481767674878000","1676964822585x708987829409945600","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907451x668055283015980000"
"","","","Riverina Cancer Care Centre","Private","","1693732770633x986360572856585900","1676964822585x476754645715963460","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907460x305425726167462900"
"","1125 Pemberton St, West Albury NSW 2640","","Albury Day Surgery","Private","","1693732770483x794177064280469800","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907507x386784418780747650"
"","","","Ballina Day Surgery","Private","","1693732769897x242863366459895140","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907508x101991923297921620"
"","140 Spencer St, South Bunbury WA 6230","","Bunbury Day Surgery","Private","","1693732770046x942675074401165600","1676964822585x851736283240877700","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907508x118644423162937780"
"","1119/1123 Howitt Street, Wendouree VIC 3355","","Ballarat Day Procedure Centre","Private","","1693732770192x649993146007219700","1676964822585x851736283240877700","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907508x228925897997520160"
"","1 Chum St, Bendigo VIC 3550","","Bendigo Day Surgery","Private","","1693732770337x591034374021930100","1676964822585x851736283240877700","1694528785331x141300457074589700","hospitaltest@mailinator.com","","VIC","","Feb 21, 2023 6:35 pm","Sep 13, 2023 12:26 am","","(App admin)","1676964907508x542604525775393100"
"","1 Wellington St, Mackay QLD 4740","","Mater Misericordiae Day Unit","Private","","1693732769140x451820647227273500","1676964822585x851736283240877700","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907509x234911684063566560"
"","26-36 Hardy Ave, Wagga Wagga NSW 2650","","Calvary Day Procedure Centre - Wagga Wagga","Private","","1693732769285x885629405861201500","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907509x514594684841385800"
"","85 Willetts Rd, North Mackay QLD 4740","","Mackay Specialist Day Hospital","Private","","1693732769433x990255489455426600","1676964822585x851736283240877700","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907509x821942440073427800"
"","10 Warneford St, Hobart TAS 7000","","Hobart Day Surgery","Private","","1693732769605x854937863444600300","1676964822585x851736283240877700","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907509x850656779555573900"
"","77 Uralba St, Lismore NSW 2480","","Lismore Private Day Surgery","Private","","1693732769753x854718860037272600","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907509x898587076199410800"
"","","","Mogo Day Surgery","Private","","1693732768937x179810328721082600","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907514x580057855971965300"
"","1 Medical Pl, Urraween QLD 4655","","St Stephen's Hospital Hervey Bay","Private","","1693732768341x427444439456404300","1676964822585x851736283240877700","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907515x114271310887559260"
"","18 Scott St, East Toowoomba QLD 4350","","Toowoomba Surgicentre","Private","","1693732768488x235327477806461800","1676964822585x851736283240877700","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907515x171747504657137060"
"","","","Orange Surgery Centre","Private","","1693732768637x772630249329458800","1676964822585x851736283240877700","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907515x186432834728508700"
"","166 Steele St, Devonport TAS 7310","","Steele Street Clinic","Private","","1693732768789x233434062246854460","1676964822585x851736283240877700","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907515x331259307268871700"
"","","","Toowoomba Hospice","Private","","1693732768193x503164372304573300","1676964822596x781381808785028800","1694532628949x556970705280040960","","","QLD","","Feb 21, 2023 6:35 pm","Sep 13, 2023 1:30 am","","(App admin)","1676964907562x278865046348271360"
"","","","Murray Valley Private Hospital","Private","","1693732768049x139894240272734340","1676964822596x127015884486642460","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907612x309703915623962280"
"","","","Eden Healthcare Centre","Private","","1693732767897x743399905233089000","1676964822596x802915228103574000","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907656x964505429965856200"
"","2 Canning St, Rockhampton QLD 4700","","Marie Stopes International Rockhampton","Private","","1693732767753x996719063266383400","1676964822596x212049478602122300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907703x460208518057936240"
"","24 Norman St, Clifton QLD 4361","","Clifton Co-op Hospital","Private","","1693732767609x784756416347000700","1676964822602x377690248686196000","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907759x105430963013928290"
"","","","Hamley Bridge Memorial Hospital","Private","","1693732767165x449229434793274800","1676964822602x377690248686196000","","","","SA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907761x306925466633410700"
"","43 Aerodrome Rd, Mallala SA 5502","","Mallala Community Hospital","Private","","1693732767313x913619276698776300","1676964822602x377690248686196000","","","","SA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907761x402177937453605000"
"","14 Licola Rd, Heyfield VIC 3858","","Heyfield Hospital","Private","","1693732767457x999665249939035000","1676964822602x377690248686196000","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907761x418165323831205500"
"","","","Nagambie Hospital","Private","","1693732766401x359570561110175360","1676964822602x377690248686196000","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907762x207839514032815740"
"","31 Albert Rd, Melbourne VIC 3004","","Albert Road Clinic","Private","","1693732766561x568275212790569900","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907762x484108872588667500"
"","1220 Creek Rd, Carina Heights QLD 4152","","Belmont Private Hospital","Private","","1693732766713x572272485450401100","1676964822581x774989221784000300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907762x743230702728195700"
"654564654564","","","Abbotsford Private Hospital","Private","","1693732766861x421679364736247800","1676964822581x774989221784000300","","louisjsisk+noncapital1@gmail.com","","WA","","Feb 21, 2023 6:35 pm","Mar 19, 2024 7:39 pm","","(App admin)","1676964907762x755469321319187600"
"","10/37 Bilinga St, Currumbin QLD 4223","","Currumbin Clinic","Private","","1693732767012x310429259047734900","1676964822581x774989221784000300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907762x776752592741004200"
"","","","Delmont Private Hospital","Private","","1693732766102x512054516030238500","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907763x275555043524761570"
"","293-295 Fullarton Rd, Parkside SA 5063","","Fullarton Private Hospital","Private","","1693732766253x644171707772300800","1676964822581x774989221784000300","","","","SA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907763x393041359634704640"
"","","","Northside West Clinic","Private","","1693732765316x346648808267367300","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907919x172488888509194000"
"","","","Northside Cremorne Clinic","Private","","1693732765461x953418035282190200","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907919x526382606127713900"
"","","","Northside Clinic Private Hospital","Private","","1693732765609x306559110790340920","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907919x537825553878779100"
"","1 Ellamatta Ave, Mosman NSW 2088","","Mosman Private Hospital","Private","","1693732765757x243467658466561380","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907919x759069411937929600"
"","","","New Farm Clinic","Private","","1693732765909x151901678718751260","1676964822581x774989221784000300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907919x815935616533462400"
"","","","South Pacific Private Hospital","Private","","1693732764581x448641123798076540","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907920x600461696306002800"
"","21-29 Havelock St, West Perth WA 6005","","Perth Clinic","Private","","1693732764729x577450976683412000","1676964822581x774989221784000300","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907920x626559381634014100"
"","13 Grantham St, Burwood NSW 2134","","St John of God Burwood Hospital","Private","","1693732764877x144986658221985000","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907920x645572758838468400"
"","","","St John of God Pinelodge Clinic","Private","","1693732765021x932894279216104600","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907920x929896691345120800"
"","34 Dixon St, Strathpine QLD 4500","","Pine Rivers Private Hospital","Private","","1693732765169x797477864387871700","1676964822581x774989221784000300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907920x952156483921113000"
"","177 Grose Vale Rd, North Richmond NSW 2754","","St John of God Private Hospital - Richmond","Private","","1693732763824x522955481705489360","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907921x540543679900922700"
"","4/33 Park Terrace, Gilberton SA 5081","","The Adelaide Clinic","Private","","1693732763985x595435040505206000","1676964822581x774989221784000300","","","","SA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907922x295623344715831900"
"","187 Cambridge St, Wembley WA 6014","","The Marian Centre","Private","","1693732764133x945615965956604400","1676964822581x774989221784000300","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907922x664753983192971400"
"","98 Townsend Rd, St Albans Park VIC 3219","","The Geelong Clinic","Private","","1693732764281x716733357157520300","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907922x871896281358334600"
"","","","The Hills Clinic","Private","","1693732764437x447744398521210400","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907922x881841475772419100"
"","","","The Sydney Clinic","Private","","1693732763086x409172100500827500","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907923x125989964940220300"
"","","","The VICtoria Clinic","Private","","1693732763238x716819447740321800","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907923x606671257364190000"
"","496 Milton Rd, Toowong QLD 4066","","Toowong Private Hospital","Private","","1693732763389x846127789704613800","1676964822581x774989221784000300","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907923x621330277997824500"
"","130 Church St, Richmond VIC 3121","","The Melbourne Clinic","Private","","1693732763533x749953316962332400","1676964822581x774989221784000300","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907923x905898651118727400"
"","91 Milton St, Ashfield NSW 2131","","Wesley Hospital Ashfield","Private","","1693732763677x773470031727167200","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907923x940212143187493300"
"","7 Blake St, Kogarah NSW 2217","","Wesley Hospital Kogarah","Private","","1693732762889x411835801537997500","1676964822581x774989221784000300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907924x981000864856318400"
"","Level 3, Campus Centre Building, Prince of Wales Hospital, Barker St, Randwick NSW 2031","","Eastern Heart Clinic","Private","","1693732762589x975909065872122600","1676964822581x491854132623292600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907925x411665129309052300"
"","","","Canberra Imaging Group - Angiography Interventional Suite","Private","","1693732762741x469442575463779460","1676964822581x491854132623292600","","","","ACT","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907925x853792210231672000"
"","Raymond Terrace, South Brisbane QLD 4101","","Mater Women's & Children's Private Health Services","Private","","1693732762441x619471674377092200","1676964822581x953422988306429400","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907931x391852806379915840"
"","LEVEL 1/956 Gympie Rd, Chermside QLD 4032","","Chermside Dialysis Unit","Private","","1693732762291x513690279809623400","1676964822581x934597792943895200","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907976x273181618604992000"
"","","","Diaverum Rockingham Dialysis Clinic","Private","","1693732761689x891029332197571600","1676964822581x934597792943895200","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907977x356257513140268100"
"","","","Diaverum Diamond Valley Dialysis Clinic","Private","","1693732761837x689580506312723800","1676964822581x934597792943895200","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907977x460394537424646340"
"","","","Diaverum Cannington Dialysis Clinic","Private","","1693732761989x103962115166778220","1676964822581x934597792943895200","","","","WA","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964907977x486514387728719040"
